nombre_cientifico,nombre_vulgar,envase_1lt,envase_3lts,envase_5lts,envase_10lts,envase_20lts,altura_maxima
Abutilon sp,Malvavisco,6,7,,,3,"     2,20 mts."
Acacia bonariensis,Ñapinday,,40,,40,3,"     1,80 mts."
Acacia caven,Espinillo,,,21,16,,"     1,80 mts."
Acanthosyris spinescen,Quebrachillo,,,,,2,"     1,00 mts."
Allophylus edulis,Chalchal,42,76,20,43,11,"     1,20 mts."
Aloysia gratissima,Cedrón del monte,,,8,41,,"     1,60 mts."
Araujia Hortorum,Tasi,,,,,,
Aristolochia fimbriata,Aristolochia Mil hombres,3,30,,7,,
Aristolochia Macroura,Patito coludo,73,21,5,,,
Asclepias Melladora,yerba de la vibora,,,,,,
Begonia,Begonia,63,20,3,,,
Berberis ruscifolia,Berberis,,,22,5,,"     0,80 mts."
Blepharocalyx salicifolius,Anacahuita,,,2,76,7,"     1,80 mts."
Buddleja Davidi,Budleja,,,2,,,
Caesalpinia gilliesii,Barba de chivo,,,36,3,5,"     1,80 mts."
Calliandra Parvifolia,Calliandra,,6,4,6,,"     1,40 mts."
Canaballia Bonaerensis,Haba del aire,,13,,,,
Canna Glauca,Achira amarilla,,,2,1,,
Camptosema Rubicundum,Isipo Colorado,,12,2,,,
Celtis iguanaea,Tala gateador,,,42,29,,
Celtis Tala,Tala ,,131,151,158,3,"     1,60 mts."
Cephalantus glabratus,Sarandí colorado,,,,16,,"     1,50 mts."
Cestrum sp.,Hediondillo,,2,8,1,,"     0,80 mts."
Cissus Striata,Cissus,,6,1,,,
Cisus palmata,,1,,,,,
Citharexylum montevidense,"Tarumá, Espina de bañado",,,5,15,3,"     1,80 mts."
Clystostoma Callistegiopes,Dama de Monte,,,3,,,
Cordia bifurcata,vernonia,5,8,,24,,"     1,60 mts."
Cortaderia Selloana,Cortadera,,1,1,4,1,"     1,00 mts."
Combretum Fruticosum,Peine de mono,20,3,,,,
Cuphea fruticosa,Siete sangrías,1,3,,3,,
Cypella herbertii,Lirio del bajo,17,9,,5,,
Cypella Coelestis,flor celeste,8,70,58,5,,
Clematis Bonariensis,Clematis,,,1,,,
Clematis Montevidensis,Cabello de angel,,,2,,,
Daphnopsis racemosa,Ivira,86,18,,,4,"     1,20 mts."
Daucus pusillus,Zanahoria Blanca,1,,,,,
Dicliptera tweediana,Canario rojo,,,,,,
Dolichandra Cynanchoides,Sacha Huasca,,,3,,,
Enterolobium contortisiliquum,Timbo,1,,,33,3,
Ephedra tweediana,Tramontana,30,3,,14,4,
Erithryna crista-galli,Ceibo, ,,7,39,5,"     1,20 mts."
Eryngium sp,Falso caraguatá,118,54,0,10,10,
Eryngium sp,Hoja ancha,,,36,,,
Eupatorium Hecatantum,Bananita Dolca,1,,,,,
Eupatorium inulaefolium,Chilca de olor/Mariposera,,,,4,1,
Eupatorium ivaefolium,Mariposero azul,19,,,,,
Eugenia uruguensis,Ñangapiri,,,,,,
Galianthe brasiliensis,Diodia,,3,21,1,,
Geoffroea decorticans,Chañar,,2,,78,2,"     0,80 mts."
Glandularia peruviana,Margarita Punzó,13,12,10,5,,"     0,80 mts."
Grindelia pulchella,Grindelia,,,106,,,
